Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
1,RIKEN Advanced Institute for Computational Science (AICS),Fujitsu,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",Japan,2011,548352,8162000.0,8773630.0,10725120,0,9898.56,Sparc,SPARC64 VIIIfx,2000,8,Fujitsu Cluster,K computer,Linux,,Cluster,Research,Research,Custom,Custom,Eastern Asia,Asia,06/2011
2,National Supercomputing Center in Tianjin,NUDT,"NUDT TH MPP, X5670 2.93Ghz 6C, NVIDIA GPU, FT-1000 8C",China,2010,186368,2566000.0,4701000.0,3600000,1000000,4040.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,NUDT MPP,NUDT YH MPP,Linux,NVIDIA 2050,MPP,Research,Research,Proprietary,Proprietary,Eastern Asia,Asia,06/2011
3,DOE/SC/Oak Ridge National Laboratory,Cray Inc.,Cray XT5-HE Opteron 6-core 2.6 GHz,United States,2009,224162,1759000.0,2331000.0,5474272,0,6950.6,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,Cray XT,Cray XT5-HE,Linux,,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas,06/2011
4,National Supercomputing Centre in Shenzhen (NSCS),Dawning,"Dawning TC3600 Blade, Intel X5650, NVidia Tesla C2050 GPU",China,2010,120640,1271000.0,2984300.0,2359296,0,2580.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Dawning Cluster,Dawning TC3600 Blade System,Linux,NVIDIA 2050,Cluster,Research,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia,06/2011
5,"GSIC Center, Tokyo Institute of Technology",NEC/HP,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows",Japan,2010,73278,1192000.0,2287630.0,2490368,0,1398.61,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,NVIDIA 2050,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia,06/2011
6,DOE/NNSA/LANL/SNL,Cray Inc.,Cray XE6 8-core 2.4 GHz,United States,2011,142272,1110000.0,1365810.0,0,0,3980.0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Cray XE,Cray XE6,Linux,,MPP,Research,Not Specified,Custom,Custom,North America,Americas,06/2011
7,NASA/Ames Research Center/NAS,SGI,"SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon 5570/5670 2.93 Ghz, Infiniband",United States,2011,111104,1088000.0,1315330.0,3344040,0,4102.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200EX/8400EX,Linux,,MPP,Research,Aerospace,Infiniband,Infiniband,North America,Americas,06/2011
8,DOE/SC/LBNL/NERSC,Cray Inc.,Cray XE6 12-core 2.1 GHz,United States,2010,153408,1054000.0,1288630.0,4537344,0,2910.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,,MPP,Research,Research,Custom,Custom,North America,Americas,06/2011
9,Commissariat a l'Energie Atomique (CEA),Bull SA,Bull bullx super-node S6010/S6030,France,2010,138368,1050000.0,1254550.0,4926336,0,4590.0,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull Bullx,bullx super-node S6010/S6030,Linux,,Cluster,Research,Defense,Infiniband,Infiniband QDR,Western Europe,Europe,06/2011
10,DOE/NNSA/LANL,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband",United States,2009,122400,1042000.0,1375780.0,2249343,0,2345.5,Power,PowerXCell 8i,3200,9,IBM BladeCenter,BladeCenter QS22 Cluster,Linux,IBM PowerXCell 8i,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas,06/2011
